JobseekerID,Name,Language,Education Level,Industry,Experience
20473,Joren Van Campenhout,Dutch,PhD,Technology,2-4
22762,Romy Derycke,Dutch,PhD,Hotels and restaurants,0-1
10466,Gabriel Lammens,German,PhD,Administration,10+
10978,Nicole Bertels,French,High School,Construction,10+
15303,Kathleen Vansteenkiste,French,High School,Manufacturing,0-1
19653,Helena Moonen,French,High School,Research,5-10
10201,Anne-Marie Aerts,Dutch,PhD,Pharmaceutical,10+
15237,Peter Wuyts Maertens,Spanish,Bachelor,Education,5-10
14696,Erna Claeys,Dutch,Master,Health and social services,10+
15745,Godelieve Goossens,Spanish,PhD,Construction,2-4
22114,Benny Aerts,English,Master,Transport,2-4
11856,Gisèle Dillen,Dutch,PhD,Pharmaceutical,0-1
17178,Karen Verbist,Dutch,Bachelor,Health and social services,5-10
13770,Lena Van Damme,Dutch,High School,Administration,10+
16222,Charlotte Bogaert,French,High School,Pharmaceutical,5-10
15277,Marc Mariën,French,PhD,Logistics,2-4
19019,Kurt Lenaerts,Spanish,PhD,Education,5-10
15969,Lutgart Huybrechts,Spanish,Bachelor,Construction,10+
14659,Viviane Vlaeminck,Dutch,PhD,Health and social services,5-10
10531,Nelly Deconinck,Spanish,High School,Administration,5-10
15284,Cas Pauwels Baeyens,French,Bachelor,Agriculture,2-4
21949,Lisette Van Praet,Spanish,High School,Construction,0-1
19294,Tom Claessens,English,Master,Energy,2-4
11100,Isabelle Desmet,French,High school,Cleaning,5-10
19365,Robert Goethals,English,Master,Education,5-10
13671,Barbara Cools,Spanish,High School,Transport,5-10
14542,Louise Pauwels,German,High school,Cleaning,0-1
14962,Steven Vandevelde,Dutch,High school,Cleaning,0-1
13029,Natalie Deckers,French,Bachelor,Wholesale and retail,2-4
14758,Hilde Thijs,English,High school,Cleaning,2-4
16696,Erik Smets,German,Master,Financial intermediation,10+
12059,Isabelle Demuynck,German,High School,Hotels and restaurants,2-4
24085,Inge De Groote,French,Master,Pharmaceutical,5-10
20775,Gabriël De Witte,French,PhD,Research,0-1
24989,Melissa Vinck Van Camp,German,Bachelor,Manufacturing,10+
24249,Geert Peters,Dutch,High School,Financial intermediation,10+
17689,Frans Blondeel,Dutch,PhD,Education,5-10
11689,Robbe Verhulst,English,PhD,Hotels and restaurants,10+
12207,Serge Engels,Dutch,High School,Pharmaceutical,10+
13087,Thomas Diallo,German,Master,Financial intermediation,5-10
19995,Robin Voet,German,PhD,Agriculture,0-1
13838,Jean De Smet,Spanish,PhD,Education,2-4
14046,Arlette Desmet,German,Bachelor,Transport,0-1
24472,Michel De Clerck Maes,Dutch,Bachelor,Technology,2-4
24913,Tinne Verfaillie,English,High School,Manufacturing,5-10
10906,Roger Van Nuffel,Spanish,Bachelor,Pharmaceutical,0-1
22693,Lisa Van Acker De Ridder,Dutch,High School,Logistics,2-4
22501,Vera Claessens,English,Bachelor,Health and social services,0-1
16658,Danny Michiels,Dutch,Master,Technology,2-4
15508,Carine Vandaele,Spanish,Bachelor,Hotels and restaurants,5-10
13878,Anne De Coninck Van Hecke,German,Master,Administration,5-10
13312,Sonja Coenen,Spanish,Bachelor,Technology,2-4
16092,Caroline Baele,German,High School,Transport,5-10
24373,Senne Maes,Spanish,Master,Manufacturing,10+
22966,Nore Timmermans,French,PhD,Research,5-10
13190,Roger Martens,Dutch,High School,Health and social services,0-1
24365,Anja Smets,Dutch,PhD,Wholesale and retail,5-10
21692,Christian Mertens,French,High School,Agriculture,2-4
16036,Ella Goris,German,Master,Construction,5-10
20035,Tony Bervoets Michiels,Dutch,PhD,Health and social services,2-4
17738,Martin Hanssens Baert,French,PhD,Hotels and restaurants,0-1
15140,Myriam Goris Wuyts,Dutch,Master,Hotels and restaurants,10+
24857,Giovanni Van Campenhout,English,PhD,Education,5-10
23453,Hugo Thys,German,PhD,Technology,5-10
19589,Matteo Beckers,English,PhD,Logistics,0-1
20986,Mathis Claes,German,Master,Financial intermediation,5-10
18875,Chloë Neyens Jans,French,High School,Wholesale and retail,0-1
10329,Jan Pieters,German,Bachelor,Health and social services,2-4
19344,Jozef Van den Eynde,German,High School,Transport,10+
16487,Lex Van den Broeck,French,Master,Education,5-10
23280,Micheline Goossens,German,PhD,Administration,5-10
12562,Frédéric Vercruysse,Dutch,High school,Cleaning,0-1
18253,Luc De Keyser,Spanish,Master,Agriculture,10+
13045,Bruno Bervoets,French,High School,Agriculture,10+
21964,Julie Verbruggen,Spanish,High school,Cleaning,5-10
21533,Jana Cuyvers,French,Bachelor,Construction,2-4
11966,Els Engels De Decker,French,Master,Health and social services,2-4
19738,Erik Verheyen,English,High School,Logistics,2-4
16608,Francis Vercruysse Vandenberghe,English,High School,Transport,0-1
10001,Didier Vandecasteele,German,Bachelor,Administration,2-4
18607,Freddy Van Hecke,Spanish,PhD,Energy,5-10
18029,Veerle Dhondt,French,High School,Construction,0-1
19177,Amir Lambert,German,Bachelor,Hotels and restaurants,0-1
18008,Katrien Cornelis,Dutch,Bachelor,Health and social services,0-1
22515,Magda Meert,French,High school,Cleaning,2-4
20308,Olga Vranken,Dutch,Master,Energy,0-1
15328,Andrea Van Loock,German,Master,Health and social services,5-10
20369,Marcel Vandaele,English,Bachelor,Education,10+
17711,Veerle De Bruyn,German,High School,Hotels and restaurants,2-4
18261,Jonathan Vandecasteele Vansteenkiste,Dutch,High School,Pharmaceutical,5-10
20676,Marie-Claire Van den Eynde,French,PhD,Technology,2-4
24083,Nicolas Van den Bossche,Spanish,PhD,Manufacturing,2-4
19044,Katia David,German,High School,Administration,5-10
12396,Rita Vandewalle,French,Master,Administration,2-4
22751,Sandra Coenen,English,Master,Health and social services,0-1
21494,Frank Willems,English,Master,Education,5-10
22890,Louis Boonen,English,High School,Pharmaceutical,10+
17800,Khalid Willems,French,PhD,Administration,2-4
13118,Luc Janssens,German,Bachelor,Energy,0-1
17619,Daniel Philips,French,Master,Wholesale and retail,0-1
23958,Ingrid Verbeke,French,High School,Administration,2-4
16961,Lieze Thijs,Spanish,Master,Wholesale and retail,0-1
14055,Thomas Engelen,Spanish,High school,Cleaning,5-10
10776,Xavier Nuyts,German,High School,Technology,2-4
19633,Gerda Goossens,Spanish,PhD,Technology,10+
17681,Ludo Lippens,English,High School,Health and social services,2-4
17465,Jeannine Michielsen,Spanish,PhD,Technology,5-10
13596,Jimmy Joos,English,High School,Logistics,0-1
19519,Françoise Ceuppens,German,High School,Hotels and restaurants,0-1
20505,Brigitte Bosmans,French,High School,Hotels and restaurants,5-10
23319,Mehdi Stevens,French,High School,Construction,10+
18445,Christine De Roeck,Spanish,PhD,Manufacturing,0-1
21874,Nancy Deman Cuypers,English,Master,Logistics,2-4
14051,Pierre De Coster,Dutch,High School,Agriculture,2-4
24215,Nico De Baets,Dutch,Bachelor,Research,0-1
17165,Lenn Vandewalle,Dutch,High School,Pharmaceutical,5-10
23853,Noor Hermans,French,PhD,Administration,5-10
16304,Julia Singh,French,High School,Logistics,5-10
16748,Kurt Moonen,English,Master,Research,2-4
10446,Murat Janssens,Spanish,PhD,Hotels and restaurants,0-1
19326,Ruth De Coninck,Dutch,High school,Cleaning,0-1
18184,Eddy Dhondt,English,High School,Agriculture,5-10
20769,Irène Goossens,English,High school,Cleaning,2-4
19328,Denise Verlinden Hendrickx,Spanish,Bachelor,Education,0-1
18168,Arne Bervoets,English,Master,Logistics,2-4
18245,Patrick Leroy,Spanish,PhD,Pharmaceutical,0-1
23277,Maria Reynaert Laenen,German,PhD,Administration,5-10
15339,Matthias Goossens,Spanish,High School,Financial intermediation,5-10
15488,Yves Cools,Dutch,PhD,Education,0-1
10182,Vera Dillen,Dutch,Bachelor,Technology,10+
22959,Catharina Belmans,Spanish,High School,Pharmaceutical,10+
24408,Martha Verhelst,German,Bachelor,Education,0-1
22354,Alexandra Jacobs,German,PhD,Construction,0-1
10905,Herman Vermeire Baeten,Dutch,PhD,Hotels and restaurants,0-1
21241,Amira Cornelis,German,PhD,Health and social services,10+
20528,Ferre Rottiers,English,High School,Technology,5-10
14789,Piet De Wit Vercruysse,French,Master,Research,5-10
14545,David Vandevelde De Bondt,English,High School,Logistics,5-10
15960,Delphine Bogaerts,Dutch,PhD,Administration,5-10
20842,Fabienne Van Driessche,German,Master,Agriculture,10+
10759,Astrid Faes,Spanish,Bachelor,Transport,10+
17269,Kristina Houben,French,High School,Logistics,10+
21538,Christel Willems,Spanish,High School,Transport,2-4
12301,Charles Leemans,Dutch,High School,Wholesale and retail,5-10
19840,Suzy Michiels,German,High School,Construction,5-10
16549,Ismail Liekens,Spanish,Bachelor,Wholesale and retail,5-10
12573,Mohamed Troch,Spanish,Bachelor,Health and social services,0-1
19990,Franciscus De Clercq,French,Master,Manufacturing,2-4
24659,Bilal Vaes,French,Master,Logistics,0-1
24978,Marianne Vandaele,German,PhD,Wholesale and retail,2-4
22671,Ismail Andries,French,PhD,Administration,10+
22130,Erik Theunis,Spanish,PhD,Administration,5-10
